EC11D5EC-C1B5-41DB-9DF3-0B6DE6774E88 West LLC                                                                                                                                                                                                2020-04-23 2.15                                     (*mWB%R%xUMw
A2126CFD-ADE4-4E94-813F-0B8AC03FC1B2 Bosco, Leannon and Bernhard                                                                                                                                                                             2023-05-17 .12                                      ro0*HGUa!W6(
155E4314-AD4F-40CC-9865-0B8CF34FE574 Greenholt - Wisoky                                                                                                                                                                                      2022-11-15 .63                                      U47(oNGx*tU7
9DB54A6E-1979-41EA-B6B3-0C0D8C092D11 Bednar, Lemke and Heaney                                                                                                                                                                                2024-11-03 4.24                                     jBQmq27G5!2N
6019B79E-196B-45AB-A1F2-0C24B4AEE0C1 Brakus - Jerde                                                                                                                                                                                          2023-03-12 1.44                                     GiVgv6aq8Po1
5DFA874D-8E0C-4BFE-9F52-0C57D46A9F80 Crooks - Bartoletti                                                                                                                                                                                     2021-11-08 4.06                                     h)rkM9t(62nm
19A0FDB3-AEAF-4E2B-B38E-0D2036FD7743 Reynolds, Langosh and Tillman                                                                                                                                                                           2022-01-29 1.22                                     fWEnbjco5nKP
36504075-A4B7-41BD-96F7-0D2D89328777 Pacocha Group                                                                                                                                                                                           2021-06-04 3.27                                     9svdoCeW6Ldy
8DF4F9B3-D09F-4E42-948A-0DB1B66192E4 Welch - Sanford                                                                                                                                                                                         2020-12-13 3.65                                     tFordF^Nd8^Q
F1417783-C559-4ADA-90A7-0E4B09FE3FC4 Muller - Lehner                                                                                                                                                                                         2024-08-13 2.56                                     5n2DSvDif*Yr
B1BCA74F-6C57-4A04-85CB-0E78738757CC Schiller, Padberg and Hane                                                                                                                                                                              2022-12-10 4.19                                     ESAbwvRWCm6U
3A349828-7737-457A-8D83-0EABC523C0AB Veum, Robel and Terry                                                                                                                                                                                   2024-11-01 3.24                                     iCP7E!dXG4!j
339F2EEB-D31D-4BB5-A387-0ED8A4D138B2 Bergstrom Inc                                                                                                                                                                                           2024-09-17 1.61                                     L3q*JZgKtzeV
60029ED0-0DC3-4A7B-B443-0EEB9FC04F3C Bashirian, Koch and Buckridge                                                                                                                                                                           2021-03-20 1.95                                     FOP(v%J8h#$q
16899621-1D67-4341-97B2-0F4B64D1D1F9 Buckridge - Christiansen                                                                                                                                                                                2021-01-01 3.60                                     pzFH8c4$lscD
90824734-0F7C-47FF-8083-0F51315E3B5D Prosacco - Robel                                                                                                                                                                                        2024-06-08 1.10                                     bZM*WgWipdhg
9E34BC69-49CC-4AB8-A644-0FC29E8AB114 Rutherford, Bins and Mann                                                                                                                                                                               2023-07-13 1.42                                     yffYMz258oSC
72627350-9E00-41A9-83B5-0FD18BB9E337 Kihn - Feeney                                                                                                                                                                                           2020-09-16 4.46                                     f)#5f&$lY)nq
20D82EA2-C251-4258-B49E-1083D7E7504F Blick, Rice and Gulgowski                                                                                                                                                                               2024-01-02 3.65                                     gPJ9xB2NZG7)
E2A6146D-506B-4601-96A2-10865244BA36 Collins Inc                                                                                                                                                                                             2023-07-01 3.64                                     w8PEr52)6hAD
372C88CE-DC7A-445B-B502-10B930427827 Lueilwitz Group                                                                                                                                                                                         2023-07-28 3.81                                     6KqY473qAnrr
0694741B-D9AD-4721-BB2B-10CE28C47C2B Smith - Keeling                                                                                                                                                                                         2020-07-17 .47                                      HR@RX1a3WJJq
C82CD8A0-C2A8-4D19-8043-10DE3271E5B9 Little Group                                                                                                                                                                                            2024-07-21 1.84                                     *AMYz&!xh0rU
8DFBB9D7-F4FC-47ED-8521-114BE5F12DCD Walker, Gusikowski and VonRueden                                                                                                                                                                        2022-07-27 3.40                                     ZQDru8KsZHtb
02DBE37D-E788-41AE-BA2F-1153B1F627F3 Leffler Group                                                                                                                                                                                           2023-09-21 .07                                      6EdT)^Bp(yJY
B0EDB50C-B4E6-4351-B687-11640F6508F4 Wisozk, Witting and Mann                                                                                                                                                                                2020-08-15 1.27                                     Q0kcFU@GJ9&0
AACA8259-25D4-46CE-A5BD-118CB8B5BF6D Fahey - Beatty                                                                                                                                                                                          2023-03-13 3.34                                     !tWSKtL(dq@Z
AEED7404-CFFC-49B0-9CDD-11AF15BF1828 Kunze - Deckow                                                                                                                                                                                          2025-02-27 .01                                      n*5!FX)m@CmM
339274C9-5D41-4511-8AE4-11E35F1C5DFF Johnston, Streich and Goyette                                                                                                                                                                           2021-12-07 1.06                                     dR)!c01CfNVZ
9F0F00C6-CDEF-45B7-9DF6-12325F93088C Bogisich - Jacobs                                                                                                                                                                                       2024-09-25 .51                                      VuCA%g81q5Mh
6143EE19-E732-453E-85F3-1233B6A2AA3B Dickinson - Windler                                                                                                                                                                                     2021-08-06 2.97                                     e*Mi89I1yX^O
1930476B-46E8-4FBB-8D83-126692EDD155 Mohr Group                                                                                                                                                                                              2024-02-28 1.10                                     ZDD5BBo8l718
E15F9FFD-D917-45AF-BF93-126E69DD9D28 Romaguera - Daniel                                                                                                                                                                                      2021-06-30 2.23                                     iXPbjVl8UY5P
55494F41-1117-4B6F-8094-12EA541BA9C3 Powlowski Group                                                                                                                                                                                         2024-08-06 4.80                                     hfWPZ3!^URQF
25767AF3-6B8D-4213-BC04-1377C4779B68 MacGyver, Huel and Grady                                                                                                                                                                                2022-10-20 3.82                                     HyHOJhh()l2D
BFD4C82D-AB91-4EB4-A082-138E6898CFD7 Weber, Feil and Reichert                                                                                                                                                                                2023-05-28 3.51                                     ng(4x!Xq@yY$
6F3814F7-98AB-41BC-B59C-1406E1E6034F Beatty Inc                                                                                                                                                                                              2023-03-25 4.45                                     F%LiaxxKzhMc
E1281167-B7F6-4477-9AC5-148DE563DCBE Tremblay - O'Connell                                                                                                                                                                                    2020-07-09 3.35                                     FT9TM2KpDp4z
5B82BCBE-8E03-434E-8262-14AFD9F1F597 Weissnat - Hackett                                                                                                                                                                                      2022-09-25 4.19                                     uO%69i49uP(g
CE2E7DAE-B623-48B4-9A30-153EBD53F437 Swift - Feil                                                                                                                                                                                            2024-12-28 3.61                                     UE@wuYUSsnV3
1490BA8E-50C5-458B-9ED1-156647DC2892 Kozey Group                                                                                                                                                                                             2020-08-27 3.21                                     8rpnAao#zRTo
F72408FF-667A-4A85-8C7D-1585839B9824 Crona - Schmitt                                                                                                                                                                                         2020-08-05 4.90                                     PAOcXHqb@ipi
D8619CA3-F415-42FF-9183-15B06CFD97C3 Fisher LLC                                                                                                                                                                                              2024-05-16 .19                                      opD01zlajHpC
F657DF6B-2F83-410E-98D5-15D71A89EFB8 Erdman, Christiansen and Stoltenberg                                                                                                                                                                    2021-03-06 .62                                      rrTdyEg&PMrs
E968F940-9E74-4793-AC8F-15DBB82CD9E3 Pfeffer, Kassulke and Feil                                                                                                                                                                              2021-09-22 3.16                                     eXpV(nn&MQum
261DC09E-0B93-4B1F-BF16-166679F89351 Schaefer - Gibson                                                                                                                                                                                       2022-12-06 2.68                                     #nrST9$suFyM
69A7169B-8355-43E6-9A56-1669188F890A Streich - Barton                                                                                                                                                                                        2022-05-22 .01                                      M8saBou*8G5q
47597542-BDA1-40E4-AFAA-168B8066F1DE Parker - Stokes                                                                                                                                                                                         2023-06-17 .89                                      vELZDC9sXI0X
DE7FE38F-BAD9-40B0-98E1-16EA78ED7538 Ruecker - Gleichner                                                                                                                                                                                     2024-01-24 3.77                                     2xUEAyOE3yhw
8F8C14F2-DF42-4005-A674-17A1095B0C85 Schumm and Sons                                                                                                                                                                                         2024-04-17 .90                                      pWIk5$n)#l7B
DC5132CC-800F-4D56-B610-17CA8CF57300 Kerluke, Anderson and Green                                                                                                                                                                             2022-12-06 2.66                                     $SX4(Z!DZhWC
D957D756-B870-466C-83A5-181346F8D1F4 Satterfield - Schroeder                                                                                                                                                                                 2020-09-23 1.58                                     0ROgYn%Dm&^P
712B5003-5E03-4B67-8792-18279C0DF3D8 Towne Inc                                                                                                                                                                                               2022-04-03 2.75                                     Y98WB@Y2(CCw
64334AEB-4B70-439F-9823-1844E122686A O'Hara Inc                                                                                                                                                                                              2022-04-07 1.54                                     (kO987$1FmeG
1AA26992-CC5F-49D5-8022-18EC5642D9C4 Hammes Inc                                                                                                                                                                                              2023-01-07 2.48                                     px8)GP9UBWTN
C4951D92-DB09-43E2-A2F7-198FADD1CD86 Kuphal, Nicolas and Hayes                                                                                                                                                                               2022-05-07 4.76                                     kLL)7P!nm(D5
320EE75F-5EBA-4AEC-A96C-19A120024112 Koch, Heathcote and Rice                                                                                                                                                                                2020-11-19 .00                                      c82n(8bs1i92
17200E82-56D1-4512-985A-1A19832980CA Langworth and Sons                                                                                                                                                                                      2023-08-17 1.32                                     !&Wl97wxpH*m
35131C49-DE94-45F6-A950-1A81DF66CC3B Volkman - Schulist                                                                                                                                                                                      2022-04-06 2.50                                     7bYro(6IGLF^
C4FF30D0-3098-4E0F-8D65-1AEE41C4A036 Bartoletti - Schowalter                                                                                                                                                                                 2024-09-21 1.82                                     MuvF$w8zjPtA
038C2DE8-44BE-4BFF-9847-1AF1ABCD9F62 Anderson - Huels                                                                                                                                                                                        2025-03-02 2.19                                     way)ghLR8cNp
11E0DEA6-87FC-4EA3-B833-1B65FA84D145 Herzog - Daugherty                                                                                                                                                                                      2022-02-28 1.13                                     rvSd7b3pZrF*
355F2CD2-1EAE-4A4B-8FCE-1B8226B8B059 Zieme LLC                                                                                                                                                                                               2022-11-30 4.60                                     oieSZ3hcW5!%
EEC13992-F845-4E96-8284-1BCEDA6D0EB8 Mante, Bode and Weimann                                                                                                                                                                                 2023-02-22 4.43                                     vA3LRww!ltSF
90D8FC05-DB56-4E18-BEA4-1BE2DB56CFE9 Hilpert Group                                                                                                                                                                                           2024-09-15 4.03                                     ^AjstNVBtULJ
F9E52ADC-6743-407D-8084-1C2B805C2180 Okuneva - Lueilwitz                                                                                                                                                                                     2023-10-07 2.13                                     u2eTPS@QmW53
74CE551C-087B-4CA4-BBC8-1CB70E03C2BD O'Hara - Murazik                                                                                                                                                                                        2025-03-11 1.37                                     oZRG^%(UoUBI
44900A26-B5A7-49BD-87C1-1CBFA133E859 Mraz, Crona and Hills                                                                                                                                                                                   2022-03-31 2.82                                     #h#Hp3H$h#Xi
EA3AB76F-DE42-48DB-B744-1D00DAD39F2F Gutkowski Group                                                                                                                                                                                         2022-02-10 1.77                                     gQw#vBZL2$CN
7B8A171D-ADC6-4D25-9007-1D0B5AE331DE Cole, Breitenberg and Shields                                                                                                                                                                           2023-02-27 .44                                      4UFuCb*zOHbe
B98CD322-1C54-44E4-B21A-1D1E14AC5341 Heller, Denesik and Kuphal                                                                                                                                                                              2023-10-27 4.60                                     IHYFK@m@rAnV
2FA76A3F-8338-48C3-9C1F-1D5A89342B3D DuBuque - Krajcik                                                                                                                                                                                       2024-07-10 1.38                                     kLFw8GUtz&io
382901E8-91E8-452D-AC21-1D6BF7A77B87 Lowe, Rempel and Mueller                                                                                                                                                                                2021-07-04 .60                                      DQTlMLQcl!#G
5FDA622B-A677-4E86-AD52-1D7355DC6B1D Swaniawski, Terry and Jacobs                                                                                                                                                                            2024-07-16 2.64                                     5H0KY5udD6ku
4904BD32-3EA2-4E5C-8513-1D9EBCDF6CE3 Wyman and Sons                                                                                                                                                                                          2021-01-24 .34                                      C*tk3vw144Mn
798AC956-6CAC-4926-97A9-1DCAC61FC61D Sporer, Shields and Labadie                                                                                                                                                                             2023-10-17 4.16                                     v*5g3IY%zWV)
E92E77FE-1AA4-4B17-8B18-1DDEB7CEFCDC Kuhlman - Von                                                                                                                                                                                           2020-11-03 .94                                      llz3TN&nMQR*
9BF66662-1D08-40A5-BF1C-1E326A17B44D Weber Inc                                                                                                                                                                                               2025-01-23 1.42                                     FYA7V*EpuRRZ
4F90D6EA-FA98-4327-A35F-1E3F5EE3B567 Hyatt LLC                                                                                                                                                                                               2023-08-16 .79                                      @6&G6pbW&xN(
FD17A765-D8DA-40B0-92C0-1E7BEB38430E Hartmann, Howell and Lang                                                                                                                                                                               2021-09-27 4.71                                     #M&vX4eOcpYJ
43CC69DF-C40F-4679-AED6-1EF7159CF4BC Yost Group                                                                                                                                                                                              2021-04-16 .48                                      MrnG)6SKOcfe
123848B4-BDAD-4B86-BED7-1F025E9921F2 Schinner Group                                                                                                                                                                                          2023-09-26 2.73                                     gvtT9N(7Rn3p
519C4028-1BA9-4285-AAA4-1F3098D28BE7 Armstrong, Hauck and Kutch                                                                                                                                                                              2021-08-31 1.87                                     c@SVxRc3wlf)
712A4BF8-A0C3-4A83-8887-1FC102AFC874 Spencer Group                                                                                                                                                                                           2025-03-14 4.79                                     kQrubjZYh0dO
23B56DF0-035D-4E05-8A04-2011391D2BFB Langworth - Hyatt                                                                                                                                                                                       2020-10-02 2.06                                     %sHJh2^v*v&M
CAC7289F-CEA1-472B-9EF9-2039629B6A11 Balistreri Group                                                                                                                                                                                        2024-03-23 2.11                                     (THmsZbM3%TX
474DC96F-E1CE-4C85-96AD-203DD522E9BB Kunde, Boyer and Schimmel                                                                                                                                                                               2020-10-14 3.07                                     6L!APOVZ53L1
E41C283F-CD5D-4698-8C39-2066ED3026B0 Schmidt, Huel and Mertz                                                                                                                                                                                 2022-07-19 4.58                                     nClDL868Ml$s
10B54BCD-7B33-4D25-A13A-20F76B7F9B17 Rolfson - Kling                                                                                                                                                                                         2023-08-17 2.17                                     44p0G1BZ7alf
00033CD3-6987-4078-B55A-213FAC2D2992 Johnston - Herzog                                                                                                                                                                                       2022-06-07 4.90                                     5IB6Ik7DY(QJ
C9C58169-BF4B-4636-B89E-21467BE8CF2C Fahey - Hermann                                                                                                                                                                                         2021-05-24 3.72                                     PzKhX4DgaUx)
30AB2376-BAAC-490B-9566-2188F8A7D654 Flatley Inc                                                                                                                                                                                             2024-06-30 1.29                                     kYf)YPh*@RTS
5904F5A9-DA90-419F-AF0E-21968D71F1BD Mante, Kirlin and Wilderman                                                                                                                                                                             2022-04-15 .56                                      tTKHZOIEsgoG
B94CE9D6-DEBC-4CEC-B91A-21C47D9C598B Spencer, Gorczany and Johnston                                                                                                                                                                          2024-09-13 1.04                                     ySA9z$M!XDN@
2688FE94-08F3-4969-A9C6-21E7F0D973FB Friesen, Jacobi and Runolfsson                                                                                                                                                                          2020-06-26 3.26                                     r6zw6OdqYx80
67EB9929-2C8F-44EE-A490-21F09EFFA320 Predovic - Doyle                                                                                                                                                                                        2020-04-23 2.09                                     ymBsz$hTL5YC
97DBA39D-D3BB-4FC6-AB2A-21FA5006564D Wilderman, Mertz and Weissnat                                                                                                                                                                           2023-12-17 1.27                                     Z0K0)*9JF!lp
6957D286-BA0F-4E65-969F-22306F927093 Little, Ziemann and Schimmel                                                                                                                                                                            2024-10-04 1.54                                     iPJ&lZU2SrXC
278DA862-313B-4CEA-8789-226491C94230 Weimann - Zieme                                                                                                                                                                                         2024-03-05 3.00                                     ID0y83)XGxy7
B4C0FFCD-7524-4BBA-A381-23160CF1F872 Haley - Hauck                                                                                                                                                                                           2020-11-22 3.94                                     4lxJDZOyqJP^
5E24836A-3C84-4790-A2A1-234AA8FC23AF Gibson, Renner and Reinger                                                                                                                                                                              2023-04-12 2.18                                     9$Ey81q1jsOO
94D20F97-8AC1-488B-B9E9-2385D46449E9 Waelchi - McGlynn                                                                                                                                                                                       2024-04-12 .82                                      SK(k$$A)qItZ
BEE86377-F677-4D55-891C-239042D027CA Rath, Goodwin and Cartwright                                                                                                                                                                            2024-04-22 2.86                                     lEhvtHqcoIjj
EB5736A8-609A-4C4C-B12C-23A9DF84F51B Pfannerstill - Nikolaus                                                                                                                                                                                 2025-02-03 4.54                                     IrGb5tLnw!o$
F6D7695B-D596-493B-AC2E-23C7C0ED98C9 Ward Inc                                                                                                                                                                                                2020-05-07 .13                                      u3IpkuuO9MZF
0A548629-FD7B-4CB3-B7D9-2412D5F77520 Kihn, Moore and Muller                                                                                                                                                                                  2021-03-22 3.42                                     dpRtblnn7fWk
38F74C75-9734-4787-938A-242881234141 Considine - Collier                                                                                                                                                                                     2022-12-03 .55                                      o7fvkrkv*ef*
E0D917A9-0604-4E90-9367-247099192FE3 Dickens - Baumbach                                                                                                                                                                                      2022-06-01 .75                                      W$ZjFZetwNnE
AB224C9A-BADA-4691-8677-249644A1B5C6 Kautzer - Cremin                                                                                                                                                                                        2022-12-23 2.20                                     kfrCnmQh%EBr
D9F7186E-2E0D-4297-A1D5-24FB4C74A325 VonRueden - Bernhard                                                                                                                                                                                    2020-11-05 .22                                      nkpj*uYIien2
DF4464D7-C9CD-4703-83F5-255AA23F8C6E Heathcote - Upton                                                                                                                                                                                       2024-03-31 3.42                                     Kf$aGRQc^$&x
A6CAEF64-5766-455F-A596-26468C37A3E0 Okuneva and Sons                                                                                                                                                                                        2023-08-19 2.51                                     VH68ZU0KKZla
